model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss
random_forest,0.8985964912280702,0.8375123009218127,0.9403284374830633,0.9347556704918916,0.9375337728304334,0.9165759226042465,0.9751682620838203,0.321372146091231
mlp,0.8199561403508772,0.8272560135584002,0.9568322588800404,0.8156349334626367,0.8806096035831661,0.9065771337113172,0.9742125105139179,0.38681327563310786
xgboost,0.8473684210526315,0.8075047052253215,0.9371050953567909,0.8709660039868542,0.9028258684239919,0.89421701648266,0.9710605596054439,0.42967286249977327
logistic_regression,0.7880263157894737,0.7891691300920021,0.9428387096774193,0.7873498195140348,0.8581075129913978,0.8731140000507627,0.9651332167585422,0.4520720784917835
decision_tree,0.852280701754386,0.6352285436825755,0.8580721187838793,0.9807661225149507,0.91532582461786,0.6360339190813471,0.8577687588530792,0.6006177482287429
