model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,recall_mean,f1_mean,roc_auc_mean,average_precision_mean,log_loss_mean,best_epoch_median
random_forest,0.8964363850392377,0.0010441627395141933,0.8236028792194872,0.0022619084713200507,0.9336533655605371,0.9395506511023384,0.9365924838213529,0.91006741344234,0.9731386039908334,0.33189240769155065,
mlp,0.8159100075157154,0.005903303566642276,0.8225637968911732,0.0027162361823572616,0.9551792008508938,0.8119711889698907,0.8777568841809374,0.9020770627777198,0.9727472403492324,0.3966004756204389,23.0
xgboost,0.8489474011343896,0.0016530063315329793,0.8031274197003156,0.002078786577283921,0.9342840228828626,0.8760708337389186,0.9042412430398145,0.8897952558820551,0.9697895484289326,0.43111777682585656,
logistic_regression,0.7897040045678869,0.005030679215124981,0.7878559371829992,0.0033078185796785856,0.9415148541523207,0.790797979579492,0.859591843563674,0.8695689418561442,0.9640932785905711,0.45260706736176065,
decision_tree,0.8511623195493366,0.0023712695451156367,0.6334949658062907,0.003946635619833162,0.8575135536704597,0.9800118707491704,0.9146792669807574,0.6342245262751057,0.8571450186503441,0.6071184955775161,
